,news_time,news_title,news_link,news_tag
0,2022-11-18,Pfizer and BioNTech Report New Data on Omicron BA.4/BA.5-Adapted Bivalent Booster Demonstrating Improved Immune Response Against Emerging Omicron Sublineages,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-report-new-data-omicron-ba4ba5-adapted,Vaccines
1,2022-11-11,Pfizer Invites Public to View and Listen to Webcast of Pfizer Discussion at Healthcare Conference,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-pfizer-12,Financial
2,2022-11-10,Pfizer and BioNTech Receive Positive CHMP Opinion for Omicron BA.4/BA.5-Adapted Bivalent COVID-19 Vaccine Booster for Children 5 Through 11 Years of Age in European Union,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-receive-positive-chmp-opinion-omicron-1,Vaccines
3,2022-11-04,Pfizer and BioNTech Announce Updated Clinical Data for Omicron BA.4/BA.5-Adapted Bivalent Booster Demonstrating Substantially Higher Immune Response in Adults Compared to the Original COVID-19 Vaccine,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-announce-updated-clinical-data-omicron,COVID-19
4,2022-11-01,PFIZER REPORTS STRONG THIRD-QUARTER 2022 RESULTS AND RAISES 2022 OUTLOOK,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-reports-strong-third-quarter-2022-results-and-raises,Financial
5,2022-11-01,Pfizer Announces Positive Top-Line Data of Phase 3 Global Maternal Immunization Trial for its Bivalent Respiratory Syncytial Virus (RSV) Vaccine Candidate,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-announces-positive-top-line-data-phase-3-global,Vaccines
6,2022-10-13,Pfizer and BioNTech Announce Positive Early Data From Clinical Trial of Omicron BA.4/BA.5-Adapted Bivalent Booster in Individuals 18 Years and Older,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-announce-positive-early-data-clinical,Vaccines
7,2022-10-12,Pfizer and BioNTech Receive U.S. FDA Emergency Use Authorization for Omicron BA.4/BA.5-Adapted Bivalent COVID-19 Vaccine Booster in Children 5 Through 11 Years of Age,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-receive-us-fda-emergency-use-1,Vaccines
8,2022-10-05,Pfizer Completes Acquisition of Global Blood Therapeutics,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-completes-acquisition-global-blood-therapeutics,Financial
9,2022-10-04,Pfizer Announces Positive Topline Results from Phase 3 TALAPRO-2 Trial,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-announces-positive-topline-results-phase-3-talapro-2,Research and Pipeline
10,2022-10-03,Pfizer Completes Acquisition of Biohaven Pharmaceuticals,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-completes-acquisition-biohaven-pharmaceuticals,Financial
11,2022-09-26,Pfizer and BioNTech Submit Application to U.S. FDA for Emergency Use Authorization of Omicron BA.4/BA.5-Adapted Bivalent Vaccine Booster in Children 5 Through 11 Years of Age,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-submit-application-us-fda-emergency-0,Vaccines
12,2022-09-22,Pfizer Declares Fourth-Quarter 2022 Dividend,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-declares-fourth-quarter-2022-dividend,Financial
13,2022-09-22,Pfizer to Supply Global Fund Up to 6 Million PAXLOVID™ Treatment Courses for Low-and-Middle-Income Countries,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-supply-global-fund-6-million-paxlovidtm-treatment,Prescription Medicines
14,2022-09-20,Pfizer Invites Public to View and Listen to Webcast of November 1 Conference Call with Analysts,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-november-1,Financial
15,2022-09-19,Pfizer Announces Positive Top-Line Results from Phase 3 Study in 20-Valent Pneumococcal Conjugate Vaccine in Infants in the European Union,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-announces-positive-top-line-results-phase-3-study-0,Research and Pipeline
16,2022-09-15,Pfizer Announces Positive Top-Line Results from Phase 3 Trial of Pentavalent Meningococcal Vaccine Candidate (MenABCWY) in Adolescents,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-announces-positive-top-line-results-phase-3-trial-0,Vaccines
17,2022-09-14,Pfizer Invites Public to View and Listen to Webcast of Analyst and Investor Call to Review Oral GLP-1 Data Presented at European Association for the Study of Diabetes (EASD) 2022,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-analyst-and,Financial
18,2022-09-14,Pfizer Initiates Phase 3 Study of mRNA-Based Influenza Vaccine,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-initiates-phase-3-study-mrna-based-influenza-vaccine,Research and Pipeline
19,2022-09-12,Pfizer and BioNTech Receive Positive CHMP Opinion for Omicron BA.4/BA.5-Adapted Bivalent COVID-19 Vaccine Booster in European Union,https://www.pfizer.com//news/press-release/press-release-detail/pfizer-and-biontech-receive-positive-chmp-opinion-omicron-0,Vaccines
20,2022-09-09,FDA and EMA Accept Regulatory Submission for Pfizer’s Ritlecitinib for Individuals 12 Years and Older with Alopecia Areata,https://www.pfizer.com//news/press-release/press-release-detail/fda-and-ema-accept-regulatory-submission-pfizers,Prescription Medicines
21,2022-09-07,FDA Grants Breakthrough Therapy Designation to Pfizer’s Group B Streptococcus Vaccine Candidate to Help Prevent Infection in Infants Via Immunization of Pregnant Women,https://www.pfizer.com//news/press-release/press-release-detail/fda-grants-breakthrough-therapy-designation-pfizers-group-b,Vaccines
