,news_time,news_title,news_link,news_tag
0,2022-11-16,Pfizer and BioNTech Advance Next-Generation COVID-19 Vaccine Strategy with Study Start of Candidate Aimed at Enhancing Breadth of T cell Responses and Duration of Protection,https://www.pfizer.com//news/announcements/pfizer-and-biontech-advance-next-generation-covid-19-vaccine-strategy-study,COVID-19
1,2022-11-15,Listen Now—The Antigen Season 3 Explores Maternal Immunization,https://www.pfizer.com//news/announcements/listen-now-antigen-season-3-explores-maternal-immunization,Maternal Immunization
2,2022-11-03,Pfizer and BioNTech Initiate Phase 1 Study of Single Dose mRNA-Based Combination Vaccine Candidate for Influenza and COVID-19,https://www.pfizer.com//news/announcements/pfizer-and-biontech-initiate-phase-1-study-single-dose-mrna-based-combination,COVID-19
3,2022-10-31,"Amid COVID-19 Global Pandemic, The Pfizer Foundation Helps IRC Pursue Urgent Expansion of Health Access in Humanitarian Settings",https://www.pfizer.com//news/announcements/amid-covid-19-global-pandemic-pfizer-foundation-helps-irc-pursue-urgent,COVID-19
4,2022-10-28,Safety Recommendation on Janus kinase (JAK) Inhibitors Issued in the European Union,https://www.pfizer.com//news/announcements/safety-recommendation-janus-kinase-jak-inhibitors-issued-european-union,Medicines
5,2022-10-27,Listen Now—Science Will Win Season 2 Takes on Breast Cancer,https://www.pfizer.com//news/announcements/listen-now-science-will-win-season-2-takes-breast-cancer,Clinical Trials
6,2022-10-20,Advisory Committee on Immunization Practices Recommends Pfizer’s PREVNAR 20® for Adults Previously Vaccinated with PREVNAR 13®,https://www.pfizer.com//news/announcements/advisory-committee-immunization-practices-recommends-pfizers-prevnar-20r-adults,Vaccines
7,2022-10-19,Pfizer and BioNTech Receive Positive CHMP Opinion for COMIRNATY® in Children 6 Months to less than 5 Years in the European Union,https://www.pfizer.com//news/announcements/pfizer-and-biontech-receive-positive-chmp-opinion-comirnatyr-children-6-months,COVID-19
8,2022-10-17,Pfizer Invites Public to View and Listen to Webcast of Analyst and Investor Call to Review RSV Data Presented at ID Week 2022,https://www.pfizer.com//news/announcements/pfizer-invites-public-view-and-listen-webcast-analyst-and-investor-call-review,Finance
9,2022-09-28,Pfizer and BioNTech Complete Submission to European Medicines Agency for Omicron BA.4/BA.5-Adapted Bivalent Vaccine Booster in Children 5 Through 11 Years of Age,https://www.pfizer.com//news/announcements/pfizer-and-biontech-complete-submission-european-medicines-agency-omicron-ba4ba5,COVID-19
10,2022-09-24,Statement from Pfizer Chairman and CEO Albert Bourla on Testing Positive for COVID-19,https://www.pfizer.com//news/announcements/statement-pfizer-chairman-and-ceo-albert-bourla-testing-positive-covid-19-0,Leadership
11,2022-09-22,Pfizer and Sangamo Therapeutics Announce Phase 3 Trial of Investigational Gene Therapy for Hemophilia A Has Re-Opened Recruitment,https://www.pfizer.com//news/announcements/pfizer-and-sangamo-therapeutics-announce-phase-3-trial-investigational-gene,Medicines
