type,fund,fund_size,beneficial_units,total_beneficiaries
AA1,兆豐國際第一基金,"273,341,109","9,007,871.97",338
AB1,兆豐國際萬全基金,"348,871,395","8,332,019.21",958
AA2,兆豐國際全球基金,"1,166,804,670","26,704,053.92","3,457"
AA1,兆豐國際國民基金,"509,643,272","12,372,005.37","1,085"
AA1,兆豐國際豐台灣基金,"529,802,947","7,890,879.79","1,966"
AA2,兆豐國際生命科學基金,"248,598,004","12,539,765.37",748
AD1,兆豐國際寶鑽貨幣市場基金,"63,919,345,674","5,041,868,323.52",778
AD2,兆豐國際人民幣貨幣市場基金,"577,797,989","10,596,836.15",160
AA2,兆豐國際中國A股基金(台幣),"3,180,329,948","125,278,502.67","1,611"
AA2,兆豐國際中國A股基金(美金),"1,475,337,739","1,931,224.69",85
AA2,兆豐國際中國A股基金(人民幣),"618,670,585","7,065,372.34",69
AD2,兆豐國際美元貨幣市場基金(新台幣),"55,334,282","5,930,313.36",34
AD2,兆豐國際美元貨幣市場基金(美元),"227,537,094","767,505.05",18
AH11,兆豐國際臺灣藍籌30ETF基金,"375,445,030","10,830,000.00","2,353"
AA1,兆豐國際電子基金,"757,520,144","12,474,262.66","1,691"
AI2,兆豐國際丹麥資產擔保債券指數基金(台幣)-累積型,"56,759,353","6,031,286.90",11
AI2,兆豐國際丹麥資產擔保債券指數基金(台幣)-配息型,"19,752,687","2,161,424.08",7
,(基金之配息來源可能為本金),,,
AI2,兆豐國際丹麥資產擔保債券指數基金(台幣)-AI型,0,0.00,0
AI2,兆豐國際丹麥資產擔保債券指數基金(美元)-累積型,"42,451,444","158,638.38",6
AI2,兆豐國際丹麥資產擔保債券指數基金(美元)-配息型,"13,159,499","52,926.23",7
,(基金之配息來源可能為本金),,,
AI2,兆豐國際丹麥資產擔保債券指數基金(人民幣)-累積型,"29,665,491","691,471.44",6
AI2,兆豐國際丹麥資產擔保債券指數基金(人民幣)-配息型,"7,516,043","188,550.62",4
,(基金之配息來源可能為本金),,,
AI2,兆豐國際丹麥資產擔保債券指數基金(南非幣)-累積型,"16,099,465","865,538.71",5
AI2,兆豐國際丹麥資產擔保債券指數基金(南非幣)-配息型,"9,304,173","594,367.35",7
,(基金之配息來源可能為本金),,,
AA2,兆豐國際中國內需A股基金(台幣),"999,320,183","63,021,675.42",839
AA2,兆豐國際中國內需A股基金(美金),"539,660,064","1,149,396.84",83
AA2,兆豐國際中國內需A股基金(人民幣),"391,571,343","5,696,434.24",46
AC21,兆豐國際六年到期新興市場債券基金(台幣)-累積型,"195,349,004","21,468,245.40",2
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AC21,兆豐國際六年到期新興市場債券基金(台幣)-配息型,"29,014,735","3,314,122.70",2
,(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),,,
AC21,兆豐國際六年到期新興市場債券基金(美元)-累積型,"572,513,885","2,072,876.55",4
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AC21,兆豐國際六年到期新興市場債券基金(美元)-配息型,"80,353,074","303,265.77",2
,(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),,,
AC21,兆豐國際六年到期新興市場債券基金(人民幣)-累積型,"93,303,483","2,080,661.72",2
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AC21,兆豐國際六年到期新興市場債券基金(人民幣)-配息型,"11,613,573","274,656.70",2
,(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),,,
AC21,兆豐國際六年到期新興市場債券基金(南非幣)-累積型,"172,341,932","9,239,269.13",2
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AC21,兆豐國際六年到期新興市場債券基金(南非幣)-配息型,"20,402,207","1,213,636.30",2
,(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),,,
AA1,兆豐國際台灣先進通訊基金,"623,876,484","37,579,306.27",415
AC23,兆豐國際新興市場短期高收益債券基金-台幣-累積型,"230,789,992","24,017,665.50",88
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-台幣-配息型,"162,733,317","17,568,230.72",127
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,兆豐國際新興市場短期高收益債券基金-台幣-後收累積型,"55,186,264","5,743,073.50",2
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-台幣-後收配息型,"41,097,297","4,436,748.58",2
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,兆豐國際新興市場短期高收益債券基金-美元-累積型,"310,164,684","1,162,880.94",9
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-美元-配息型,"96,101,803","373,779.92",4
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,兆豐國際新興市場短期高收益債券基金-美元-後收累積型,"164,977,937","618,541.58",3
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-美元-後收配息型,"164,641,180","640,357.53",3
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,兆豐國際新興市場短期高收益債券基金-人民幣-累積型,"86,517,499","2,025,840.10",4
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-人民幣-配息型,"26,749,991","654,121.37",5
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,兆豐國際新興市場短期高收益債券基金-人民幣-後收累積,"57,082,712","1,336,608.80",2
,(本基金主要投資於非投資等級之高風險債券),,,
AC23,兆豐國際新興市場短期高收益債券基金-人民幣-後收配息型,"68,226,250","1,668,339.48",3
,(本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),,,
AA1,兆豐台灣金傳精選股息基金-累積型,"4,031,408,394","393,872,264.75",542
